"UG_PGT","Current_Degree_1","Current_Degree_2","Degree_Prog_1","Degree_Prog_2","Year_level","Tech_Familiarity","GenAI_Familiarity","GenAI_What_Ways","Familiarity_1","Familiarity_2","Familiarity_3","Familiarity_4","Familiarity_5","Familiarity_6","Familiarity_7","Familiarity_8","Benefit_Challenge_1","Benefit_Challenge_2","Benefit_Challenge_3","Benefit_Challenge_4","Benefit_Challenge_5","Benefit_Challenge_6","Benefit_Challenge_7","Benefit_Challenge_8","Benefit_Challenge_9","Future_1","Future_2","Future_3","Future_4","Future_5","Future_6"
"UG","UTMMATHEMA1F",NA,NA,NA,1,"Very familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree"
"UG","Others",NA,"Artificial Intelligence and Computer Science",NA,1,"Very familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Solving homework,Checking solutions,Writing essays","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,3,"Extremely familiar","Extremely familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Writing essays","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,1,"Moderately familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,3,"Extremely familiar","Moderately familiar","Carrying on a conversation out of curiosity","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree"
"UG","UTMMATHEMA1F",NA,NA,NA,5,"Extremely familiar","Extremely familiar","Have not used","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,4,"Very familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Explaining concepts","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","Others",NA,"Economics and statistic",NA,2,"Very familiar","Moderately familiar","Asking technical questions,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,2,"Very familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"UG","UTMATST",NA,NA,NA,4,"Slightly familiar","Slightly familiar","Have not used","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"UG","UTAPMAT",NA,NA,NA,2,"Extremely familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Explaining concepts,Writing essays","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree"
"UG","UTMATHM",NA,NA,NA,2,"Very familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree"
"UG","UTAPMAT",NA,NA,NA,3,"Very familiar","Moderately familiar","Asking technical questions,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree"
"UG","UTMMATHEMA1F",NA,NA,NA,4,"Extremely familiar","Moderately familiar","Have not used","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree"
"UG","UTMATHB",NA,NA,NA,2,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Checking solutions","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree"
"UG","Others",NA,"Computer Science and Mathematics",NA,4,"Extremely familiar","Very familiar","Asking technical questions,Asking general knowledge questions / advice,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree"
"UG","Others",NA,"Computer Science and Mathematics (Bsc Hons)",NA,2,"Very familiar","Moderately familiar","Asking technical questions,Writing essays","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree"
"UG","UTMATST",NA,NA,NA,3,"Extremely familiar","Extremely familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree"
"UG","Others",NA,"Philosophy and Mathematics",NA,2,"Very familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking quick questions when stuck on a problem,Explaining concepts","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree"
"UG","UTMMATHEMA1F",NA,NA,NA,4,"Extremely familiar","Extremely familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree"
"UG","UTMMATHEMA1F",NA,NA,NA,3,"Very familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,2,"Extremely familiar","Moderately familiar","Asking technical questions,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree"
"UG","Others",NA,"Computer Science and Mathematics",NA,2,"Extremely familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts,Writing essays","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,2,"Extremely familiar","Moderately familiar","Have not used","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree"
"UG","UTMMATHEMA1F",NA,NA,NA,3,"Very familiar","Slightly familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking quick questions when stuck on a problem","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,3,"Extremely familiar","Very familiar","Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","UTMMATHEMA1F",NA,NA,NA,2,"Very familiar","Slightly familiar","Solving homework,Checking solutions,Asking quick questions when stuck on a problem","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","UTMATST",NA,NA,NA,4,"Moderately familiar","Slightly familiar","Carrying on a conversation out of curiosity,Other (Please Specify)","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree"
"UG","Others",NA,"engineering",NA,1,"Not at all familiar","Not at all familiar",NA,"Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree"
"PGT",NA,"PTMSCSTADS1F",NA,NA,NA,"Extremely familiar","Extremely familiar","Asking technical questions,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts,Writing essays","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree"
"UG","UTMATPH",NA,NA,NA,1,"Extremely familiar","Extremely familiar","Asking technical questions,Carrying on a conversation out of curiosity,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree"
"UG","Others",NA,"Mechanical Engineering",NA,1,"Moderately familiar","Moderately familiar","Asking technical questions,Checking solutions,Asking quick questions when stuck on a problem","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree"
"UG","Others",NA,"Economics",NA,1,"Moderately familiar","Very familiar","Asking technical questions,Solving homework,Asking quick questions when stuck on a problem,Explaining concepts","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree"
"PGT",NA,"Others",NA,"Biomedical AI",NA,"Extremely familiar","Extremely familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree"
"UG","UTMATPH",NA,NA,NA,4,"Very familiar","Moderately familiar","Carrying on a conversation out of curiosity,Asking general knowledge questions / advice","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"UG","UTMATHB",NA,NA,NA,4,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree"
"UG","UTMATST",NA,NA,NA,1,"Very familiar","Moderately familiar","Asking quick questions when stuck on a problem","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree",NA,"Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree"
"UG","UTMMATHEMA1F",NA,NA,NA,5,"Very familiar","Very familiar","Asking technical questions,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,3,"Very familiar","Moderately familiar","Asking technical questions,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts,Writing essays","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"UG","UTAPMAT",NA,NA,NA,4,"Very familiar","Very familiar","Asking technical questions,Carrying on a conversation out of curiosity,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Writing essays","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"UG","UTMATHB",NA,NA,NA,4,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Explaining concepts","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"UG","UTMMATHEMA1F",NA,NA,NA,2,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Writing essays","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree"
"UG","Others",NA,"Mathematical Physics (MPhys) (UTMAPYM)",NA,1,"Extremely familiar","Very familiar","Asking technical questions,Asking general knowledge questions / advice,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"UG","Others",NA,"Mech Eng",NA,1,"Very familiar","Very familiar","Checking solutions,Explaining concepts","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree"
"UG","UTMATHB",NA,NA,NA,3,"Moderately familiar","Not at all familiar",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"UG","UTMATST",NA,NA,NA,3,"Moderately familiar","Moderately familiar","Asking technical questions,Carrying on a conversation out of curiosity,Explaining concepts","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"UG","Others",NA,"Mathematical Physics",NA,2,"Moderately familiar","Moderately familiar","Carrying on a conversation out of curiosity,Asking general knowledge questions / advice,Explaining concepts","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree"
"PGT",NA,"PTMSCSTADS1F",NA,NA,NA,"Very familiar","Very familiar","Asking technical questions,Asking general knowledge questions / advice,Solving homework,Checking solutions,Asking quick questions when stuck on a problem,Explaining concepts","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree"
